Number|Station name                             |Latitude|Longitud|Stat|Elevat.|Distance (km)
 48084|GOODOOGA (WILLAWILLINGBAH)               |-29.4192|147.3484|NSW |  130.0|1463.9
 48104|MUCKERAWA                                |-29.3000|147.4000|NSW |  132.6|1464.1
 48061|GOODOOGA (MOGILA)                        |-29.0481|147.5064|NSW |  140.0|1464.6
 77083|RAINBOW                                  |-35.8966|141.9915|VIC |   88.0|1464.6
 77035|RAINBOW POST OFFICE                      |-35.8975|141.9950|VIC |   90.0|1464.8
 35109|BOOROONDARRA                             |-22.8181|148.4900|QLD |  200.0|1464.9
 44075|WOODLANDS                                |-27.2671|148.0797|QLD |  283.0|1465.0
  4030|PILGA                                    |-21.4000|119.4000|WA  |  215.8|1465.2
 77051|RAINBOW (WERRAP (OAK-LEA))               |-35.9417|141.9350|VIC |   83.0|1465.2
 78078|KANIVA                                   |-36.3725|141.2427|VIC |  142.0|1465.3
 76012|MANANGATANG (EUREKA EAST)                |-35.1702|143.0001|VIC |   60.0|1465.4
 49010|ROTO (COOMBIE)                           |-32.8272|145.3581|NSW |  220.0|1466.8
 35131|TALAGAI                                  |-23.1331|148.5267|QLD |  305.0|1467.0
 49029|MOSSGIEL (MOOLBONG)                      |-33.3500|144.9333|NSW |  104.0|1467.5
 35021|COMET POST OFFICE                        |-23.6046|148.5447|QLD |  170.0|1467.7
 75077|YANGA                                    |-34.7000|143.6000|NSW |   68.3|1467.9
 34086|SELOH NOLEM                              |-22.3069|148.4822|QLD |  170.0|1468.1
 35060|ST AUBINS                                |-23.5500|148.5500|QLD |  133.0|1468.3
 12024|DAVEYHURST MULWARRIE                     |-30.0000|120.6000|WA  |  471.0|1468.4
 77015|GAMA                                     |-35.5574|142.5432|VIC |   81.0|1468.4
 26078|AVENUE                                   |-36.9421|140.2363|SA  |   27.0|1468.5
 44084|BERALGA HOMESTEAD                        |-27.7539|147.9853|QLD |  210.0|1468.5
 26026|ROBE                                     |-37.1628|139.7560|SA  |    3.3|1468.5
 33096|MOUNT DANGAR                             |-20.2081|148.1300|QLD |   50.0|1468.5
 48011|GIRILAMBONE (BOOROOMUGGA)                |-31.3078|146.4392|NSW |  210.0|1468.9
